Statement	Count	# unique files
df_all.Fare.fillna(df_all.Fare[df_all.Pclass == 3].median())	1	1
full_dataset['Title'].value_counts()	1	1
train_df['Age'].dropna().min().astype(int)	1	1
"df[""Family""] = df[""Parch""] + df[""SibSp""]"	1	1
"tempDf.rename(columns={""Name"": x})"	1	1
dftrain.isnull().sum()	1	1
"df[""Cabin""] = df[""Cabin""].fillna(""Unknown"")"	1	1
df.loc[(df.FareAdjusted.isnull()),'FareAdjusted'] = 1	1	1
fare0.mean()	1	1
dataset['Name'] = dataset['Name'].fillna(0)	1	1
"train_test.loc[train_test[""Age""].isnull() ,""age_nan""] = 1"	1	1
df_output[['PassengerId','Survived']].to_csv('output.csv', index=False)	1	1
train['cabin']= train.Cabin.str[0]	1	1
df_train['ticket_length'] = df_train['ticket_length'].astype('float')	1	1
df_train_ml.drop(['PassengerId','Name','Ticket', 'Cabin'],axis=1,inplace=True)	1	1
df_train.isnull().sum().sort_values(ascending = False)	1	1
titanic['Pclass_Sex'] = titanic['Pclass'] * titanic['Sex']	1	1
test_d.drop(columns={'PassengerId','Pclass','Name','SibSp','Parch','Ticket','Fare','Cabin','Embarked'})	1	1
"test[""Fare_4""] = (100 <= test[""Fare""])"	1	1
test_df.iloc[0:418, [1,8]].values	1	1
train_data[['Pclass', 'Survived']].groupby(['Pclass'], as_index=False).mean().sort_values(by='Survived', ascending = False)	1	1
test['M2_ada'] = cls_ada.predict(test.loc[:, columns])	1	1
"combined[""Fare""]=Fare"	1	1
titanic_df['top_cabin'] = titanic_df['top_cabin'].map({'A': 1, 'B': 1, 'C': 1})	1	1
df_titanic_train_mod['Embarked'].replace('C',2,inplace=True)	1	1
"df.at[pid,""Name""]"	1	1
enc.transform(test_df.Embarked)	1	1
"x[""FamilySize""]"	1	1
valid_X['Sex_Code'] = label.fit_transform(valid_X['Sex'])	1	1
data.groupby(['Sex','Pclass'])['Survived'].mean()	1	1
"out.iloc[:,out.columns.get_level_values(0).isin({""Survived"", ""PassengerId"", ""Fare"", 'class1', 'class2', ""Sex"", ""Age"", ""SibSp"", ""Parch"", ""Cabin"", ""Ticket"", 'emS', 'emC'})]"	1	1
"_df.loc[df[""fare""]<1.0 , : ].index"	1	1
df['sex_T'] = df['Sex']	1	1
test_csv.to_csv('submission_all_nn_0.5.csv', index=False)	1	1
df[['Ticket', 'Name']].groupby('Ticket').count().rename(columns={'Name':'count'}).sort_values(by='count', ascending=False)	1	1
data.Age.loc[(data.Age<0) & (data.alone==1) & (data.Personal_Titles=='Kid')] =    data.Age[(data.Age>=0) & (data.alone==1) & (data.Personal_Titles=='Kid')].median()	1	1
"df[""Title""] = LabelEncoder().fit_transform(df[""Title""])"	1	1
Lr.sort_values('LR Coef',ascending=False,inplace=True)	1	1
train_data.drop(labels=['Survived'], axis=1)	1	1
full_models['set3']['cat_attrs'] = ['Pclass', 'Sex', 'Deck', 'Cabin_bool']	1	1
titanic['Title'] = titanic['Title'].replace(['Mlle', 'Ms'], 'Miss')	1	1
all_data.loc[(all_data['Age'] > 32) & (all_data['Age'] <= 48), 'Age'] = 4	1	1
combine_df['Fare'].ix[combine_df['Fare']>151] = 152	1	1
test_df['Survived'] = np.NaN	1	1
"test_data[""Fare""].isnull().values.sum()"	1	1
train_data.copy().drop(['Survived'], axis=1).values # create a copy of the data	1	1
test_data['Age'].iloc[i] = age_pred	1	1
d.groupby(['Pclass']).mean()	1	1
df_Test.select_dtypes('number')	1	1
row['Sex'] == 'male' and row['Parch'] > 0 and row['Age'] < 5:	1	1
dataset.loc[ dataset['Fare'] <= 7.91, 'Fare' ] = 0	1	1
train_df['Embarked'] = label_encoder.transform(list(train_df['Embarked']))	1	1
dataset['FamilySize']=dataset.SibSp+dataset.Parch+1	1	1
min_max_scaler.transform(cleanedtrain.as_matrix(columns=['Fare']))	1	1
titanic_train_labels.values	1	1
sns.boxplot(x='Pclass',y='Age',data=train,palette='winter_r')	1	1
testdata[['Pclass', 'Sex', 'Embarked', 'Party', 'AgeCategory', 'FareCategory']].values	1	1
"died[""Age""].plot.hist(alpha=0.5, color='blue', bins=50)"	1	1
"data_copy[""Age""] = data_copy[""Age""].fillna(data_copy[""Age""].median())"	1	1
data['FamilySize'] == 1:	1	1
test_data['is_cabin']=test_data['Cabin'].notna().astype(int)	1	1
"dataset[""Single""] = 0"	1	1
training_df.head(3)	1	1
dataframe1.iloc[:,0:6].values	1	1
data_test.loc[data_test['FamilyPresent']==0,'FamilyPresent'] = 0	1	1
xIndex.append(x)	1	1
"axs3[1].set_title(""People who survived"", fontsize=20)"	1	1
data.drop(labels=['Name' ,'Ticket','Cabin'],axis=1)	1	1
data['Family'] = data.Parch + data.SibSp	1	1
dataset.loc[dataset['FamilySize'] == 1,'IsAlone'] = 1	1	1
train_test.loc[(train_test.SibSp<=2),'Low_SibSp']=1	1	1
train[['Sex', 'Survived']].groupby(['Sex'], as_index = False).mean().sort_values(by = 'Survived', ascending = False)	1	1
trainingset.drop(['Survived', 'PassengerId'], axis=1)	1	1
titanic_test['Sex'] = titanic_test['Sex'].map({'female': 10, 'male': 1}).astype(int)	1	1
"train[""Age""].fillna(train.groupby(""Title"")[""Age""].transform(""median""), inplace = True)"	1	1
submission.to_csv('xgbc_submission_titanic.csv', index=False)	1	1
train_features.T.values	1	1
full['Titles_mapped'] = Mapped_titles	1	1
train_df.groupby('Sex',as_index=False).Survived.mean()	1	1
featureRanks2.loc[featureRanks2.support==True,['feature']]	1	1
combined['Ticket_cnt'] = combined['Ticket'].groupby(combined['Ticket']).transform(lambda x: x.count())	1	1
features_raw['Embarked'].fillna('U', inplace=True)	1	1
x_test['FamilySize_2'] = x_test['FamilySize'].apply(lambda x: 1 if x == 2 else 0)	1	1
test_dummies.info()	1	1
new_train.loc[index[i], 'FriendsSurvived'] = round(float(survived.sum())/len(survived))	1	1
dataset.Fare.max()	1	1
test_set['Fare'] = test_set['Fare'].fillna(test_set['Fare'].mean())	1	1
drop_train.Embarked.mode().iloc[0]	1	1
train_df.loc[train_df.Title == 'Ms', 'Title'] = 'Miss'	1	1
passenger['Survived']	1	1
Merged_data.drop(['Ticket','Cabin'],axis=1,inplace=True)	1	1
"test_df.loc[test_df['Fare']<=102,""Fare""]=0"	1	1
df.join(df_embarked)	1	1
row['Embarked'] == 'S':	1	1
titanic_train_df['Title'] = titanic_train_df['Title'].replace('Mlle', 'Miss')	1	1
train_pclass.Pclass_3.isnull().sum() == 0	1	1
"AgeTypeTest.append(""2"")"	1	1
"dataset[""Embarked_Code""] = label.fit_transform(dataset['Embarked'])"	1	1
tmp_train_df['Sex'].replace(['male', 'female'], [0,1], inplace=True)	1	1
data['Sex'] = list(map(expand_sex, data['Sex'], data['Age']))	1	1
x_train['salutation'].value_counts() < 10	1	1
"vol[""LogisticRegression""] = grid_LR.best_score_"	1	1
test_1['Age'].fillna(test_1.Age.mean(),inplace = True)	1	1
test_df['source'] = 'test'	1	1
"train.drop(""Embarked"", axis=1)"	1	1
x_test['Sex'] = x_test['Sex'].fillna(x_train['Sex'].mode())	1	1
train['Age']=train[['Age','Pclass']].apply(calculate_age,axis=1)	1	1
"test_data[""Family""] = test_data[""SibSp""] + test_data[""Parch""]"	1	1
submission.sample(10)	1	1
train_data['Ticket'].describe()	1	1
test['WcgAllDied'] = dataset.iloc[train_len:, -1].reset_index(drop=True)	1	1
"test.loc[(test[""Name""]==""Miss"")&(test[""Age""].isnull()), ""Age""] = train.loc[train[""Name""]==""Miss"",""Age""].mean()"	1	1
traindf['sexn'] = traindf['Sex'].apply(lambda x: 1 if x == 'female' else 0 )	1	1
"X_test_bin.drop([""Pclass"", ""SibSp"", ""Parch"", ""Age"", ""Fare""], axis=1, inplace=True)"	1	1
train_df['Cabin'].isnull().sum() / len(train_df)	1	1
train_df.fare.plot.hist(bins=bins, alpha=.3)	1	1
all_data.set_value(380,'Deck',value='C')	1	1
table_cabin.div(table_cabin.sum(1).astype(float), axis=0).plot(kind='bar', stacked=True)	1	1
data_pruned.iloc[0:891]	1	1
training_set['Embarked'] = training_set['Embarked'].fillna(mode_embarked)	1	1
data.parent_alone.loc[data.PassengerId==103] = 0	1	1
df_full.loc[df_full['PassengerId'].isin([62, 830])]	1	1
"test[""Pclass""] = test[""Pclass""].map({1: 'Class1', 2: 'Class2', 3: 'Class3'})"	1	1
train['Age'].isnull().any()	1	1
"title_dict[""THE""] = 4"	1	1
all_data.drop(['SibSp','Parch'],axis=1,inplace=True)	1	1
"acq_in_train.pivot_table(index=[""Pclass"",""group_size""],values='Survived').copy()"	1	1
df_test.loc[ df_test['Fare'] > 31, 'Fare'] = 3	1	1
test_pred[0]	1	1
test_data['EMBARKED'] = test_data['EMBARKED'].astype('category')	1	1
model.add(layers.Dense(1, activation='sigmoid',))	1	1
train.Cabin.fillna('NO_VALUE', inplace=True)	1	1
"dfTest['Sex']=dfTest['Sex'].map({""male"":0,""female"":1})"	1	1
ax[4][0].set_ylabel('Parch', rotation=0, labelpad=80)	1	1
test_data['Age']=test_data[['Age','Pclass']].apply(impute_age, axis =1 )	1	1
search_df.drop(index = idx, inplace = True)	1	1
transformed_df[ 0:891 ]	1	1
manData['Age'].median(axis=0)	1	1
"train[""AgeGroup""] = np.vectorize(AgeGroup)(train[""Title""],train[""Age""])"	1	1
data.loc[(data.Fare > 7.5) & (data.Fare <= 12.5), 'FareBand'] = 2	1	1
data['Pclass'].unique()	1	1
"df[""FamilySize""] = df[""SibSp""] + df[""Parch""]"	1	1
temp.loc[temp[variable].isnull(), variable] = random_sample	1	1
tX.head()	1	1
test['F3'] = np.array(test['CategoricalFare'] == 3).astype(np.int32)	1	1
df['Outlier'] = np.where(df.Survived.notnull(), df['Outlier'], 0) # extra step to make sure only train data rows are deleted	1	1
"test_df.loc[test_df[""Title""] == ""Major"", ""Title""] = 'Rare Title'"	1	1
axes[1].set_title('Distribution of age for males')	1	1
updated_test_data.replace({'Title': mapping}, inplace=True)	1	1
df['Male'] = np.where(df['Sex'].str.lower()=='male', 1, 0)	1	1
train1['Age'] = train1['Age'].fillna(train1['Age'].median())	1	1
knn_prediction.astype(int)      #prediction compute from the test dataset	1	1
train_df['Fare'].fillna(train_df['Fare'].median(), inplace = True)	1	1
train.Fare.hist(bins=5)	1	1
df_train.sibsp.replace([2,3,4,5], 'group')	1	1
df.Embarked.fillna(most_embarked, inplace=True)	1	1
full_df['Title'] = full_df['Title'].replace('Mme', 'Mrs')	1	1
data['Male'] = (data['Sex']=='male').astype(int)	1	1
test_df['Fare'] = imp_median_fare.transform(test_df[['Fare']]).ravel()	1	1
raw_train['Title'].unique():	1	1
train['Name'].str.contains('Miss.')	1	1
train['Age'][sel_age_fin]	1	1
k_scores.append(scores.mean())	1	1
tit_df_san.drop('Cabin',axis=1,inplace=True)	1	1
test['Family'] = test.Parch + test.SibSp	1	1
test.drop('PassengerId',axis = 1).copy()	1	1
train_d.Age.fillna(train_d.Age.mean())	1	1
"train[""family_size""] = float(""NaN"")"	1	1
df_tr.head(6)	1	1
tt.iloc[891: , :-1]	1	1
"train_df.loc[train_df['Fare']>409,""Fare""]=4"	1	1
train.corr().style.background_gradient().format('{:.2f}')	1	1
"group[""Survived"",""Age"",""Fare""].agg([""mean"",""std"",""size""])"	1	1
data_train['Is_Alone'] = data_train['SibSp'] + data_train['Parch'] == 0	1	1
test['Age']=test['Age'].fillna(test['Age'].mode()[0])	1	1
estimators.append(('LRCV', model1))	1	1
df.loc[df['Deck']=='F', 'Deck'] = 2	1	1
merged[['Group','Survived']].groupby(['Group'], sort=False).mean()	1	1
data_one_hot_d1.align(new_test_data_d2, join='left', axis=1)	1	1
df['IsAlone'] = df.Family.apply(lambda x: 'alone' if x==0 else 'not')	1	1
combine['Embarked'].fillna('C', inplace=True)	1	1
train_data['Survived'].astype(int).plot.hist();	1	1
cabin_index_ST.append(i)	1	1
titanic_train_df['Embarked'] = le.fit_transform(titanic_train_df['Embarked'].map( {'S': 0, 'C': 1, 'Q': 2}).astype(str))	1	1
titanic['Mod_col_1']=col_1[:,0]	1	1
te_df['Fare']=(te_df['Fare']-te_df['Fare'].mean())/(te_df['Fare'].max()-te_df['Fare'].min())	1	1
classifier.add(Dense(output_dim = 1, init = 'uniform', activation = 'sigmoid'))	1	1
"train[""Title""]=train[""Title""].map(title_map_2)"	1	1
df_titanic_test.head()	1	1
test['Fare'] = test['Fare'].fillna(test['Fare'].median()) # Removes 1 null value	1	1
"test.loc[train[""Age""] < 13, ""Child""] = 1"	1	1
"df[""FamMem""] = df[""SibSp""] +df[""Parch""]"	1	1
"combined[""group_type""] = ""0"""	1	1
dataset_train[['Title', 'Survived']].groupby(['Title']).count()	1	1
new_df['Embarked'] = new_df['Embarked'].astype('category')	1	1
dataset['Title'] = dataset['Title'].replace(['Lady', 'Countess', 'Capt', 'Col',       'Don', 'Dr', 'Major', 'Rev', 'Sir', 'Jonkheer', 'Dona'], 'Rare')	1	1
data.groupby(['Initials'])['Survived'].mean()	1	1
data_copy.Fare.fillna(data.Fare.mean())	1	1
train.Cabin.fillna(train.Cabin.mode()[0], inplace=True)	1	1
test_df['Survived'] = test_df.Sex_Class == 1	1	1
train.groupby(by = ['Sex', 'Pclass'])['Fare'].describe()	1	1
"data_test[""Desk""] = data_test[""Cabin""].str.extract(""([A-Za-z]+)"",expand=True)"	1	1
dataset['isCabinA'] = dataset['isCabinLetters'].apply(lambda x: 0 if x != 'A' else 1)	1	1
adults.loc[full_train_set['Sex'] == 'male']	1	1
x_train['Title'].unique()	1	1
allfeat['IsAlone'] = 0	1	1
titanic.head()   # First five rows of titanic dataset	1	1
test.loc[test['Cabin'].str.len() == 11.0, 'CabinN1'] = test['Cabin'].astype(str).str[1:3]	1	1
train_features.append(test_features)	1	1
AgeData.loc[(AgeData.Age.notnull())]	1	1
train['Fsize'].hist()	1	1
layer_dims[3], activation='sigmoid',	1	1
row['Sex'] == 'female' and row['Pclass']<= 2:	1	1
df2['Fare'].median()	1	1
Merged_data['CatFare'] = pd.qcut(Merged_data.Age, q=5, labels=False )	1	1
params['colsample_bytree'] = grid.best_params_['colsample_bytree']	1	1
"train_data[""TitleMlle""] = 0"	1	1
full.groupby(['Title', 'Pclass'])['Age'].median().to_frame()	1	1
train['Age'][train['Survived'] == 0][train['Sex'] == 1], hist = False, ax = ax2, norm_hist = True,	1	1
"full[""nnull""] = null_count(full) # Apply to full dataset"	1	1
"female_mar[""Age""].mean()"	1	1
ax[1][0].set_xticklabels(['1','2','3'])	1	1
"data[""Ticket""].value_counts()"	1	1
age_data['final_age_data'] = age_data.apply(age_vs_survival, axis = 1)	1	1
test.loc[:,['Pclass','Age','Sex','SibSp','Parch','Fare','Embarked']]	1	1
pre_features2.head(8).T	1	1
train_x['Sex'].describe()	1	1
ax[2][0].hist(survivors['Age'].dropna().tolist(), bins=nbins)	1	1
testONS.shape[0]	1	1
test['TSNE2'] = new_features.iloc[train_rows:(train_rows+test_rows-1),1]	1	1
plt.hist(plotdata*100, bins=40)	1	1
results.sort_values(by='Score with tuned parameters', ascending=False).reset_index(drop=True)	1	1
titanic['FareBand'] = pd.qcut(titanic['Fare'], 4)	1	1
df_train[['Age', 'Sex', 'Survived', 'Pclass']]	1	1
"titanic.loc[titanic[""Sex""] == ""male"", ""Sex""] = 0 #Replaces all male values with 0"	1	1
dataset['title'] = dataset.Name.apply(lambda x: x.split(', ')[1].split('. ')[0])	1	1
pd.merge(df_test, df_gender_submission, on = 'PassengerId')	1	1
cabin_only.loc[traindex, :]	1	1
Titanic_train_dataframe_p.iloc[np.random.permutation(len(Titanic_train_dataframe_p))] #to reshuffle the input dataframe. can be reversed by: df_shuffled.reset_index(drop=True)	1	1
test['FamilySize']=test['Parch']+test['SibSp']+1	1	1
hist.max() > hist_max:	1	1
test.loc[(test['Fare']>31)&(test['Fare']<=513),'NFare']=3	1	1
"train[""SibSp""].isnull().sum()"	1	1
train_X['Sex_Code'] = label.fit_transform(train_X['Sex'])	1	1
original_test['PassengerId']	1	1
data['Initials'] = data.Name.str.extract('([A-Za-z]+)\.')	1	1
Test.as_matrix()	1	1
column.astype(float)	1	1
df_test.columns.values	1	1
lastname_table.loc[lastname_table['Alive_dad_w_lastname'] > 0, 'Alive_dad_w_lastname'] = 1	1	1
titanic_df['Age'].hist(bins=40)	1	1
x['Age'] = 32	1	1
train['Embarked'].groupby(train['Embarked']).count()	1	1
missing_data.sort_values(by='Total missing',ascending=False).head()	1	1
train_data.drop('Fare',axis = 1, inplace = True)	1	1
dataset.groupby(['Pclass', 'Embarked']).Survived.agg(['count', 'sum', 'mean'])	1	1
dict_K['Random_forest'] = get_acc(x_train,y_train,classifier)	1	1
"df_perc[[""Survived"", ""fare_group""]].groupby(by=[""fare_group""]).mean().plot()"	1	1
merged['Embarked'].fillna('S',inplace=True)	1	1
titanic[['Pclass', 'Age', 'SibSp', 'Fare', 'Survived']].values	1	1
corrmat.nlargest(k , 'Survived')['Survived'].index	1	1
"train[['IsAlone', 'Survived']].groupby('IsAlone').mean().iplot(kind='bar', colors='blue', title=""Survival Rate based on Family's presence"")"	1	1
df.drop(df.columns[[8, 10]], axis = 1)	1	1
dataset['Title']   =   dataset['Title'].replace('Mme', 'Mrs')	1	1
"df.loc[(df.Survived == 1) & (df.Sex == ""male"") , :].count()"	1	1
titanic_df['Age'] = titanic_df['Age'].fillna(titanic_df['Age'].median())	1	1
"full_dataset[""Fare""] = full_dataset[""Fare""].map(lambda i: np.log(i) if i > 0 else 0)"	1	1
ax3.hist(train_data['SibSp'], bins = 20, alpha = .50,edgecolor= 'black',color ='teal')	1	1
data.Age.head()	1	1
"test['Family'] =  test[""Parch""] + test[""SibSp""]"	1	1
testData['Initial'].replace(['Mr','Mrs','Miss','Master','Other'],[0,1,2,3,4],inplace=True)	1	1
train['FamilySize']=train['Parch']+train['SibSp']+1	1	1
data_to_submit.to_csv('MLP_result_20180901.csv', index = False)	1	1
data.surname_Baclini.astype('category')	1	1
input_df['Survived']	1	1
df['Pclass_2'][df['Pclass_2'] == 1][df['Survived'] == 1].count()	1	1
"df_train[""len_name""]=namelen"	1	1
df_surname['Surname_surviving_men'] = df_surname['Surname_surviving_men'].fillna(0)	1	1
np.round(sModel.predict(np.array(test.drop('PassengerId', axis=1)))).astype(int).reshape(1,-1)[0]	1	1
testdata.ix[(testdata.Fare > 26) & (testdata.Fare <= 52.369), 'FareCategory'] = 4	1	1
spark_submitssion.to_csv(spark_submitssion_path, index=False)	1	1
rfc_prediction.astype(int)      #prediction compute from the test dataset	1	1
"train[""Famille_3""] = train[""FamilleMember""] == '3'"	1	1
nona_data.describe()	1	1
"train_ori.loc[(train_ori[""Title""] == ""Dr"") & (train_ori[""Sex""] == ""male"") ,""Title""] = ""Mr"""	1	1
df.loc[:,'Ticket Prefix'] = df['Ticket Prefix'].apply(other_prefix)	1	1
output_df.join(predict_df, how='right')	1	1
submission.to_csv('titanic_tree.csv', index=False)	1	1
data.companions.astype(np.uint8)	1	1
"test_df.drop(labels=[""source""],axis = 1,inplace=True)"	1	1
train['Age'][train['Survived'] == 1].value_counts()	1	1
"titanic_test_dataframe[""NormalizedPclass""] = titanic_test_dataframe[""Pclass""].map({1: 0.62, 2: 0.47, 3:0.24})"	1	1
pass_id.append(passenger.PassengerId)	1	1
dataset['Title'] = dataset['Title'].replace(['Lady', 'Countess', 'Capt', 'Col', 'Don', 'Dr', 'Major', 'Rev', 'Sir', 'Jonkheer', 'Dona'], 'Rare')	1	1
"result_test5[""PassengerId""] = passenger_id_test"	1	1
"dftrain[""Age""],"	1	1
data.loc[data.Ticket=='LINE', 'Ticket'] = 'LINE0' # 4 items	1	1
"test[[""Name"", ""Master""]].head(10)"	1	1
df_train.drop(['Person'],axis=1,inplace=True)	1	1
data['Title'] =data.Name.apply(lambda x: re.search(' ([A-Z][a-z]+)\.', x).group(1))	1	1
df['Embarked'] = df['Embarked'].apply(emb)	1	1
train['Honorific']=sexTrain	1	1
all_data.drop(columns = to_drop, inplace = True, axis = 1)	1	1
data['Embarked'].fillna(data['Embarked'].median(), inplace=True)	1	1
param[0]	1	1
train['Name'].transform(extractor)	1	1
X_train.drop(['Survived'],axis=1)	1	1
tit_df_san['SibSp']+tit_df_san['Parch']	1	1
test.loc[test.Fare <= 67,'Fare'] = 1	1	1
"train_df.loc[train_df[""Age""].isnull()].groupby([""Pclass"",""Sex""])[""Sex""].agg([""count""])"	1	1
data_df['IsWoman'] = data_df['Sex'].apply(lambda x: 1 if x == 'female' else 0)	1	1
train_test_dummies.values[0:891]	1	1
scores.append(metrics.accuracy_score(y_test,y_pred))	1	1
combined_df['Age'][combined_df.Age.notnull()]	1	1
data_pruned.groupby('Title').Survived.value_counts()	1	1
df['Survived'].groupby([df['Sex'], df['Survived']]).count().unstack()	1	1
train['Family_Size']=0	1	1
testd['Agegroup']= pd.qcut(testd['Age'], 5, labels = [1, 2, 3, 4, 5] )	1	1
"train_df.groupby(""cabin_type"")[""survived""].mean().plot()"	1	1
"df_test.loc[df_test[""Title""]=='Dona',""Title""] = ""Mrs"""	1	1
"train7[""Miss""] = train7[""Name""].apply(lambda x: x.count(""Miss.""))"	1	1
train_df['Parch'].hist()	1	1
final.sort_index()	1	1
"train['Child'] = train[""Age""].apply(lambda i: 1 if i <= 17 and i > 6 else 0)"	1	1
"new_df[""Age""] = normalize( new_df[""Age""] )"	1	1
"test.drop('Age', axis=1, inplace=True)"""""""	1	1
"titanic_test[""Age""] = titanic_test[""Age""].fillna(titanic[""Age""].median())"	1	1
X_even_fewer_columns.as_matrix()	1	1
testData['PassengerId']	1	1
predictions.to_csv('csv_to_submit_v2.csv',index = False)	1	1
df['FamilySize'] = df.Parch + df.SibSp + 1 # 1 for self	1	1
train.assign(CabinLetter = train.Cabin.str.get(0)).CabinLetter.value_counts()	1	1
"tot[""Tlen""]  = tot.RT.map(lambda x: len(x))"	1	1
train_df['Title'] = train_df['Title'].replace(['Mlle', 'Ms'], 'Miss')	1	1
fare_test.drop(['Fare'],axis=1,inplace=True)	1	1
"dataframe[""Sex""] = dataframe[""Sex""].apply(lambda sex: 0 if sex == ""male"" else 1)"	1	1
titanic_test_data.Sex.fillna('0', inplace=True)	1	1
testData.groupby(['Embarked']).count()['isSurvived'].reset_index()	1	1
dataframe.drop(columns=['SibSp', 'Parch'])	1	1
test_df.replace(to_replace, None, 'Title')	1	1
"train_data[[""Pclass"",""Sex"",""Age"",""Family"",""Fare-bin"",""Embarked"",""Ticket_1"",""Ticket_2"",""Ticket_3"",""Ticket_4"",""Ticket_C"",""Ticket_P"",""Ticket_S"",""Master"",""Miss"",""Mr"",""Mrs"",""Others""]]"	1	1
dataset['Age'] = dataset['Age'].fillna(dataset['Title'].map(ageGroup))	1	1
data.loc[data['Embarked'].isnull(), 'Embarked'] = 'NoneType'	1	1
full['_AgeImputerR'] = pd.cut(full['_AgeImputer'],[0,9,18,30,40,50,100]) # Add column with range of Age	1	1
submission_test['family_size'] = submission_test.SibSp + submission_test.Parch	1	1
dt['Familysize']=dt['SibSp']+dt['Parch']+1	1	1
test_df.drop(['Person'], axis=1, inplace=True)	1	1
df['Age'].fillna(df[df['Age'].isnull()].apply(fage, axis=1), inplace=True)	1	1
train.head() #to get the sneak peak of the data	1	1
score_list.append(nb.score(x_test,y_test))	1	1
"test[""Age""] = test[""Age""].fillna(titanic[""Age""].median())   # just for simplicity"	1	1
ds.loc[ds['Title'] == title, 'Age'] = ds.loc[ds['Title'] == title, 'Age'].fillna(median_age)	1	1
X.drop(['PassengerId','Name','Ticket','Embarked'],axis=1,inplace=True)	1	1
test5['FamilySize'] = test5['SibSp'] + test5['Parch'] + 1	1	1
df_train['Fare'] = df_train.Fare.fillna(df_train.Fare.median())	1	1
em_map['Q'] = 2	1	1
input_df.isnull().sum()/tot_cnt*100	1	1
whole.drop(['SibSp','Parch','Emb','Name','Surname','Maiden','Title','Fid'],axis=1)	1	1
frame.loc[(frame.Age >16) & (frame.Age<=32) , 'Age'] = 1	1	1
"test_set.drop([""Cabin""],axis=1,inplace=True)"	1	1
"df_dums.drop(""Parch"", axis=1)"	1	1
"df.to_csv(""submission.csv"", header = True)"	1	1
df['Women'] = data['Fare'].loc[data.Woman ==1]	1	1
data['relatives'] = data.apply(lambda x: 1 if ((x.SibSp>0) & (x.Parch==0)) else 0, axis=1)	1	1
test.loc[:,feature_cols]	1	1
test3['Fare_Pclass'] = test3['Fare'] * test3['Pclass']	1	1
np.round(mlp.score(X_valid_norm, Y_valid), 4)	1	1
scaler.transform(clf_train_input)	1	1
models['set2']['cat_attrs'] = ['Pclass', 'Sex', 'Deck', 'Cabin_bool']	1	1
data[['Pclass','Sex','Age','SibSp','Parch','Embarked']]	1	1
train_df['SibSp'].value_counts(normalize=True).plot.bar(figsize=(24,6), title= 'Sibling_Spouse')	1	1
"train_df[""S""] = train_df.Embarked.apply(lambda l: np.where(l==0, 1, 0))"	1	1
df.drop(columns=['Name'], axis=1)	1	1
result_df.to_csv('predicted_survived.csv')	1	1
test['T3'] = np.array(test['Title'] == 'Mr').astype(np.int32)	1	1
"train_df[""Embarked""][829] = str('S')"	1	1
xtr.shape[0]	1	1
"df_train.loc[ df_train['Fare'] <= 7.91, 'Fare'] 						         = 0"	1	1
valid_dataset['PassengerId']	1	1
data['AgeBand'] = 0	1	1
test_ToPred['Sex'].replace(['female','male','master','miss'], [0,1,2,3],inplace=True)	1	1
X_w_target.corr()	1	1
dataset['FareBin_Code']	1	1
rawdata['Sex'].replace(['male','female'],[0,1],inplace=True)	1	1
titanic_train_dataset['Age'].std()	1	1
df.loc[ (df['Age']>16) & (df['Age']<=30) , 'AgeGroup'] = 'Young'	1	1
"df[""Cabin""] = pd.Series([i[0] if not pd.isnull(i) else 'X' for i in df[""Cabin""]])"	1	1
titanic_df['ticket_number'] = ticketnumber.values	1	1
all_data['Survived']	1	1
np.mean(test['Fare'])	1	1
Pclass_t.append(Titanic_Master.Ticket.str.slice(0,1)[i])	1	1
"df_test[""Title""]=0"	1	1
dset['Fare'].fillna(dset['Fare'].mode()[0], inplace=True)	1	1
traindf[['Title', 'Survived']].groupby(['Title'], as_index=False).mean()	1	1
X_train.drop(['Parch', 'SibSp'], axis=1, inplace=True)	1	1
embarked.var()	1	1
full_df.loc[ full_df['Embarked'].isnull(), 'Embarked_Num' ] = 1	1	1
df['Title'] = df.Name.apply(lambda x: x.split(' ')[1])	1	1
"train_df.drop(""Survived"", axis=1)[train_set_size:train_set_size+valid_set_size]"	1	1
dataset['Fare']=dataset['Fare'].fillna(dataset['Fare'].dropna().median())	1	1
data['NameTitle'].replace(['Mme.', 'Mlle.', 'Ms.'], 'Miss.', inplace=True)	1	1
dataset[['Title','Survived']].groupby('Title',as_index=False).mean()	1	1
train_ds.loc[(train_ds['Age'].isnull()) & (train_ds['Sex'] == sex) &                      (train_ds['Pclass'] == pcl), 'Age']= mean_age['train'][sex][pcl-1]	1	1
dataset.shape, testset.shape	1	1
tr['Alone'].loc[tr['Family'] > 0] = 0	1	1
MBR.iloc[:15, :].plot(x='Feature', kind='barh', figsize=(20,10), fontsize=12, grid=True)	1	1
test[['PassengerId', 'Survived']].to_csv('First_Random_Forest_Classifier.csv', index=False)	1	1
test['Age']=test['Age'].fillna(test['Age']).median()	1	1
"test_df.loc[ (test_df[""Sex""]==""male"") & (test_df[""Age""].isnull()), ""Age""] = male_mean_age"	1	1
train_data.loc[(train_data['Age']>55),'Age'] = 4	1	1
dataset['FareBin']=pd.qcut(dataset['Fare'],4)	1	1
cache_dirs.append(cachedir)	1	1
X_test['FamilySize'] = X_test['SibSp'] + X_test['Parch'] + 1	1	1
train2_df['Embarked'].fillna('S', inplace=True)	1	1
"full_df[""Name""].apply(title_estimator)"	1	1
